inventoryid,store,brand,productname,size,vendorid,vendorname,invoiceno,podate,receivingdate,invoicedate,paydate,unitprice,quantity,totalamount,classification,size_ml
73_DONCASTER_21317,73,21317,Bartenura Moscato,750mL,4425,MARTIGNETTI COMPANIES,11693,2016-08-17,2016-08-23,2016-08-31,2016-10-15,9.33,11,102.63,2,750.0
7_STANMORE_21101,7,21101,Niner Twisted Spur 10 Red,750mL,653,STATE WINE & SPIRITS,11933,2016-09-02,2016-09-09,2016-09-17,2016-10-29,12.24,12,146.88,2,750.0
25_CAERSHIRE_17345,25,17345,Bogle Essential Red,750mL,4425,MARTIGNETTI COMPANIES,13362,2016-12-05,2016-12-13,2016-12-26,2017-01-23,6.01,11,66.11,2,750.0
60_IRRAGIN_10666,60,10666,Clayhouse Adobe Cntrl Cst Wh,750mL,4425,MARTIGNETTI COMPANIES,12995,2016-11-09,2016-11-18,2016-11-29,2017-01-03,7.74,21,162.54,2,750.0
13_TARMSWORTH_5365,13,5365,Kahlua,750mL,17035,PERNOD RICARD USA,11372,2016-07-26,2016-08-03,2016-08-12,2016-09-12,14.84,10,148.4,1,750.0
68_SOLARIS_31454,68,31454,Foxhorn SE Chard Australia,1.5L,9815,WINE GROUP INC,12391,2016-09-29,2016-10-05,2016-10-16,2016-11-17,4.79,7,33.53,2,1500.0
76_DONCASTER_8654,76,8654,M & R Sweet Vermouth,375mL,480,BACARDI USA INC,11606,2016-08-11,2016-08-15,2016-08-28,2016-10-01,3.55,23,81.65,2,375.0
9_BLACKPOOL_3218,9,3218,Firefly Sweet Tea Vodka,750mL,8004,SAZERAC CO INC,11218,2016-07-15,2016-07-20,2016-07-27,2016-09-10,10.23,12,122.76,1,750.0
64_CESTERFIELD_3243,64,3243,Burnetts Vodka,1.75L,3924,HEAVEN HILL DISTILLERIES,10800,2016-06-23,2016-06-30,2016-07-11,2016-08-14,8.26,3,24.78,1,1750.0
2_ASHBORNE_3680,2,3680,Stolichnaya Ohranj,1.75L,8664,"STOLI GROUP,(USA) LLC",11254,2016-07-18,2016-07-30,2016-08-09,2016-09-01,18.93,35,662.55,1,1750.0
73_DONCASTER_5707,73,5707,Art in the Age Rhubarb Tea,750mL,3664,WILLIAM GRANT & SONS INC,13569,2016-12-18,2016-12-27,2017-01-10,2017-02-12,21.42,6,128.52,1,750.0
39_EASTHALLOW_35464,39,35464,Stags Leap Artemis Cab Svgn,750mL,8673,STE MICHELLE WINE ESTATES,13498,2016-12-13,2016-12-22,2016-12-29,2017-01-31,28.44,11,312.84,2,750.0
76_DONCASTER_3348,76,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC,11859,2016-08-30,2016-09-06,2016-09-20,2016-10-22,22.38,59,1320.42,1,1750.0
73_DONCASTER_6356,73,6356,Taylor Cream Sherry,1.5L,1392,CONSTELLATION BRANDS INC,12840,2016-10-31,2016-11-10,2016-11-18,2016-12-23,5.16,5,25.8,2,1500.0
76_DONCASTER_41072,76,41072,Angeline Pnt Nr Rsv,750mL,9552,M S WALKER INC,9939,2016-04-25,2016-05-06,2016-05-16,2016-06-09,8.16,2,16.32,2,750.0
18_FURNESS_3684,18,3684,Fleischmanns Royal Vodka,1.75L,660,SAZERAC NORTH AMERICA INC.,9663,2016-04-05,2016-04-15,2016-04-22,2016-06-05,7.68,6,46.08,1,1750.0
57_LANTEGLOS_2676,57,2676,Grand MacNish,1.75L,9552,M S WALKER INC,9698,2016-04-07,2016-04-14,2016-04-22,2016-05-25,10.93,6,65.58,1,1750.0
73_DONCASTER_1868,73,1868,Lagavulin Single Malt 16-Yr,750mL,3960,DIAGEO NORTH AMERICA INC,11191,2016-07-14,2016-07-20,2016-08-01,2016-09-07,49.62,11,545.82,1,750.0
71_CLARCTON_5734,71,5734,Malibu Rum,1.75L,17035,PERNOD RICARD USA,8866,2016-02-10,2016-02-15,2016-02-26,2016-04-05,15.82,5,79.1,1,1750.0
49_GARIGILL_36874,49,36874,Yellow Tail Merlot Ausl,750mL,4425,MARTIGNETTI COMPANIES,9350,2016-03-15,2016-03-23,2016-04-01,2016-05-01,4.63,24,111.12,2,750.0
49_GARIGILL_5410,49,5410,Raspberry di Amore,750mL,660,SAZERAC NORTH AMERICA INC.,8751,2016-02-02,2016-02-10,2016-02-18,2016-04-01,6.15,12,73.8,1,750.0
41_LARNWICK_10723,41,10723,R M Woodbridge Chard,1.5L,1392,CONSTELLATION BRANDS INC,12792,2016-10-27,2016-11-02,2016-11-08,2016-12-16,6.2,20,124.0,2,1500.0
66_EANVERNESS_10874,66,10874,Cantine Maschio Prosecco Brt,750mL,516,BANFI PRODUCTS CORP,12392,2016-09-30,2016-10-04,2016-10-16,2016-11-20,7.53,12,90.36,2,750.0
25_CAERSHIRE_4359,25,4359,Mr Boston Light Rum,1.75L,660,SAZERAC NORTH AMERICA INC.,8820,2016-02-07,2016-02-19,2016-02-24,2016-04-10,7.71,5,38.55,1,1750.0
30_CULCHETH_12203,30,12203,Cavit Prosecco Lunetta,187mL 3 Pk,6785,PALM BAY INTERNATIONAL INC,9541,2016-03-28,2016-04-04,2016-04-15,2016-05-25,6.84,8,54.72,2,
42_BLACK HOLLOW_1359,42,1359,Knob Creek Rye,750mL,12546,JIM BEAM BRANDS COMPANY,9772,2016-04-13,2016-04-21,2016-04-30,2016-06-12,21.87,6,131.22,1,750.0
70_KELD_6312,70,6312,Gallo Twin Valley Svgn Bl Ca,1.5L,3252,E & J GALLO WINERY,8537,2016-01-19,2016-01-29,2016-02-07,2016-03-08,6.75,6,40.5,2,1500.0
72_HARDERSFIELD_2757,72,2757,Johnnie Walker Red Label,1.75L,3960,DIAGEO NORTH AMERICA INC,13320,2016-12-02,2016-12-09,2016-12-19,2017-01-13,22.38,2,44.76,1,1750.0
54_GUTHRAM_23095,54,23095,Glen Ellen Cab Svgn RSV,1.5L,9815,WINE GROUP INC,9045,2016-02-22,2016-03-04,2016-03-13,2016-04-08,4.76,3,14.28,2,1500.0
11_CARDEND_11828,11,11828,Cupcake Svgn Bl,750mL,9815,WINE GROUP INC,8943,2016-02-15,2016-02-23,2016-02-29,2016-04-09,3.97,45,178.65,2,750.0
40_BULLMAR_6542,40,6542,Melini Borghi D'Elsa Chiant,750mL,9744,FREDERICK WILDMAN & SONS,9836,2016-04-18,2016-04-28,2016-05-04,2016-06-12,3.71,9,33.39,2,750.0
5_SUTTON_6214,5,6214,Taylor Red Port,3L,1392,CONSTELLATION BRANDS INC,9283,2016-03-10,2016-03-18,2016-03-28,2016-04-27,9.08,4,36.32,2,3000.0
52_GRAYCOTT_3784,52,3784,Margaritaville Gold Tequila,750mL,8004,SAZERAC CO INC,10181,2016-05-11,2016-05-20,2016-05-24,2016-07-08,7.29,12,87.48,1,750.0
74_PAENTMARWY_3216,74,3216,Fleischmanns X Dry Gin,1.75L,660,SAZERAC NORTH AMERICA INC.,9611,2016-04-01,2016-04-08,2016-04-15,2016-05-25,7.68,6,46.08,1,1750.0
34_PITMERDEN_28890,34,28890,Peter Vella Wh Znfdl Cal,5L,3252,E & J GALLO WINERY,13358,2016-12-05,2016-12-12,2016-12-21,2017-02-01,9.99,4,39.96,2,5000.0
69_MOUNTMEND_3348,69,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC,13238,2016-11-27,2016-12-06,2016-12-20,2017-01-23,22.38,17,380.46,1,1750.0
73_DONCASTER_2749,73,2749,John Begg Blue Cap,1.75L,3960,DIAGEO NORTH AMERICA INC,11907,2016-09-01,2016-09-07,2016-09-13,2016-10-19,13.38,6,80.28,1,1750.0
76_DONCASTER_2723,76,2723,J & B Rare,1.75L,3960,DIAGEO NORTH AMERICA INC,11670,2016-08-16,2016-08-25,2016-09-01,2016-10-13,21.42,5,107.1,1,1750.0
51_ABERDEEN_5507,51,5507,Arrow Blackberry Brandy,750mL,8352,LUXCO INC,9153,2016-03-01,2016-03-11,2016-03-21,2016-04-19,4.54,9,40.86,1,750.0
10_HORNSEY_3505,10,3505,Tito's Handmade Vodka,750mL,4425,MARTIGNETTI COMPANIES,12848,2016-10-31,2016-11-12,2016-11-20,2016-12-21,13.76,9,123.84,1,750.0
9_BLACKPOOL_27351,9,27351,Almaden Chard Cal B/B,5L,9815,WINE GROUP INC,10256,2016-05-16,2016-05-25,2016-06-05,2016-07-12,10.38,4,41.52,2,5000.0
74_PAENTMARWY_4565,74,4565,Christian Bros VS Brandy,750mL,3924,HEAVEN HILL DISTILLERIES,12397,2016-09-30,2016-10-05,2016-10-11,2016-11-10,6.71,11,73.81,1,750.0
32_MOUNTMEND_3893,32,3893,Zhenka 80 Proof,1.75L,9552,M S WALKER INC,11497,2016-08-04,2016-08-12,2016-08-17,2016-09-18,7.93,8,63.44,1,1750.0
51_ABERDEEN_1623,51,1623,Bulleit 95 Rye,375mL,3960,DIAGEO NORTH AMERICA INC,13487,2016-12-13,2016-12-19,2016-12-29,2017-02-06,10.07,12,120.84,1,375.0
60_IRRAGIN_5734,60,5734,Malibu Rum,1.75L,17035,PERNOD RICARD USA,10179,2016-05-11,2016-05-20,2016-05-28,2016-06-30,15.82,9,142.38,1,1750.0
32_MOUNTMEND_4291,32,4291,Ronrico Gold,1.75L,12546,JIM BEAM BRANDS COMPANY,11549,2016-08-08,2016-08-17,2016-08-24,2016-09-22,10.39,4,41.56,1,1750.0
38_GOULCREST_44292,38,44292,Woop Woop Shiraz,750mL,10754,PERFECTA WINES,10107,2016-05-06,2016-05-12,2016-05-21,2016-06-20,8.38,12,100.56,2,750.0
30_CULCHETH_39413,30,39413,Mirassou Pnt Nr Cntrl Coast,750mL,3252,E & J GALLO WINERY,12586,2016-10-13,2016-10-20,2016-10-31,2016-12-02,5.06,12,60.72,2,750.0
59_CLAETHORPES_19453,59,19453,Wente Southern Hill Cab Svgn,750mL,2000,SOUTHERN WINE & SPIRITS NE,10545,2016-06-05,2016-06-15,2016-06-23,2016-08-05,9.65,12,115.8,2,750.0
76_DONCASTER_36344,76,36344,Latour Pinot Noir Valmoissin,750mL,9552,M S WALKER INC,11287,2016-07-20,2016-07-25,2016-08-03,2016-09-16,8.72,12,104.64,2,750.0
76_DONCASTER_41034,76,41034,Menage a Trois Red,750mL,8892,TRINCHERO FAMILY ESTATES,12837,2016-10-30,2016-11-08,2016-11-20,2016-12-25,5.26,18,94.68,2,750.0
5_SUTTON_3606,5,3606,Smirnoff Raspberry Vodka,50mL,3960,DIAGEO NORTH AMERICA INC,12149,2016-09-18,2016-09-30,2016-10-08,2016-11-07,0.74,106,78.44,1,50.0
40_BULLMAR_7725,40,7725,Great Western Brut,750mL,9165,ULTRA BEVERAGE COMPANY LLP,13604,2016-12-20,2016-12-27,2017-01-03,2017-02-02,6.07,24,145.68,2,750.0
60_IRRAGIN_3456,60,3456,Tanqueray Sterling Vodka,1.75L,3960,DIAGEO NORTH AMERICA INC,11493,2016-08-04,2016-08-08,2016-08-17,2016-10-02,13.27,4,53.08,1,1750.0
48_NORFOLK_1348,48,1348,Knob Creek Bourbon,375mL,12546,JIM BEAM BRANDS COMPANY,9118,2016-02-28,2016-03-12,2016-03-19,2016-04-21,11.84,12,142.08,1,375.0
50_MOUNTMEND_39356,50,39356,Bota Box Chard Cal,3L,2242,DELICATO VINEYARDS INC,12811,2016-10-28,2016-11-04,2016-11-07,2016-12-14,11.56,2,23.12,2,3000.0
75_BARNCOMBE_16477,75,16477,Cupcake Angel Food,750mL,9815,WINE GROUP INC,8943,2016-02-15,2016-02-23,2016-02-29,2016-04-09,4.76,12,57.12,2,750.0
33_HORNSEY_25539,33,25539,Three Knights Svgn Bl,750mL,653,STATE WINE & SPIRITS,10994,2016-06-30,2016-07-07,2016-07-15,2016-08-25,7.09,12,85.08,2,750.0
6_GOULCREST_4262,6,4262,Capt Morgan Spiced Rum,750mL,3960,DIAGEO NORTH AMERICA INC,12676,2016-10-19,2016-10-26,2016-11-06,2016-12-05,11.19,11,123.09,1,750.0
60_IRRAGIN_27835,60,27835,Wild Horse CC Pnt Nr,750mL,1392,CONSTELLATION BRANDS INC,12953,2016-11-07,2016-11-14,2016-11-21,2016-12-22,9.14,12,109.68,2,750.0
73_DONCASTER_6946,73,6946,Rosemount Diamond Cab Svgn,750mL,4425,MARTIGNETTI COMPANIES,11928,2016-09-02,2016-09-09,2016-09-14,2016-10-24,4.79,12,57.48,2,750.0
50_MOUNTMEND_415,50,415,Jose Cuervo Especial,Liter,7245,PROXIMO SPIRITS INC.,9881,2016-04-20,2016-04-25,2016-05-02,2016-06-09,13.04,12,156.48,1,
60_IRRAGIN_8264,60,8264,Ch Ste Michelle Rsl,750mL,8673,STE MICHELLE WINE ESTATES,9780,2016-04-13,2016-04-21,2016-04-28,2016-06-10,5.37,8,42.96,2,750.0
1_HARDERSFIELD_6349,1,6349,Glen Ellen Chard RSV,1.5L,9815,WINE GROUP INC,9045,2016-02-22,2016-03-01,2016-03-13,2016-04-08,4.63,9,41.67,2,1500.0
13_TARMSWORTH_4262,13,4262,Capt Morgan Spiced Rum,750mL,3960,DIAGEO NORTH AMERICA INC,11589,2016-08-10,2016-08-17,2016-08-30,2016-10-05,11.19,15,167.85,1,750.0
31_HORNSEY_8512,31,8512,Baileys Irish Cream,750mL,3960,DIAGEO NORTH AMERICA INC,9585,2016-03-31,2016-04-04,2016-04-15,2016-05-26,14.72,11,161.92,1,750.0
78_EASTHAVEN_3476,78,3476,Reyka Vodka,750mL,3664,WILLIAM GRANT & SONS INC,10643,2016-06-12,2016-06-23,2016-07-03,2016-08-14,15.5,6,93.0,1,750.0
6_GOULCREST_32294,6,32294,Dom Chandon Brut,187mL,8112,MOET HENNESSY USA INC,9462,2016-03-22,2016-03-30,2016-04-04,2016-05-08,2.97,22,65.34,2,187.0
76_DONCASTER_23539,76,23539,Vin Vault Chard,3L,3252,E & J GALLO WINERY,8537,2016-01-19,2016-01-28,2016-02-07,2016-03-08,12.41,6,74.46,2,3000.0
2_ASHBORNE_21985,2,21985,Menage a Trois Midnight,750mL,8892,TRINCHERO FAMILY ESTATES,9444,2016-03-21,2016-03-31,2016-04-04,2016-05-11,6.59,36,237.24,2,750.0
42_BLACK HOLLOW_27145,42,27145,Schmitt Sohne QbA,750mL,9552,M S WALKER INC,8462,2016-01-13,2016-01-20,2016-01-30,2016-03-08,6.03,12,72.36,2,750.0
51_ABERDEEN_2889,51,2889,Buchanans Deluxe 12Yr Scotch,750mL,3960,DIAGEO NORTH AMERICA INC,10566,2016-06-07,2016-06-15,2016-06-20,2016-08-04,23.07,12,276.84,1,750.0
41_LARNWICK_8085,41,8085,Wild Turkey,1.75L,11567,CAMPARI AMERICA,12621,2016-10-16,2016-10-26,2016-11-03,2016-12-07,25.59,6,153.54,1,1750.0
66_EANVERNESS_21864,66,21864,Dom Carneros Brut,750mL,4692,KOBRAND CORPORATION,9021,2016-02-21,2016-03-03,2016-03-14,2016-04-09,15.23,12,182.76,2,750.0
67_EANVERNESS_8112,67,8112,Stolichnaya,1.75L,8664,"STOLI GROUP,(USA) LLC",12175,2016-09-19,2016-09-29,2016-10-03,2016-11-12,19.52,14,273.28,1,1750.0
9_BLACKPOOL_41530,9,41530,Septima Malbec Mendoza,750mL,9165,ULTRA BEVERAGE COMPANY LLP,12947,2016-11-06,2016-11-16,2016-11-22,2017-01-08,5.84,12,70.08,2,750.0
21_BALERNO_361,21,361,Effen Cucumber Vodka,750mL,12546,JIM BEAM BRANDS COMPANY,11867,2016-08-30,2016-09-08,2016-09-13,2016-10-18,14.28,6,85.68,1,750.0
1_HARDERSFIELD_23143,1,23143,Bogle Chard,750mL,4425,MARTIGNETTI COMPANIES,9309,2016-03-11,2016-03-18,2016-03-22,2016-04-25,4.65,6,27.9,2,750.0
67_EANVERNESS_7994,67,7994,Stock Italian Sweet Vermouth,1.5L,8352,LUXCO INC,11465,2016-08-02,2016-08-08,2016-08-15,2016-09-18,7.93,6,47.58,1,1500.0
81_PEMBROKE_5102,81,5102,Brinley Shipwreck Coconut Cr,750mL,9165,ULTRA BEVERAGE COMPANY LLP,13286,2016-11-29,2016-12-06,2016-12-18,2017-01-13,19.22,6,115.32,1,750.0
8_ALNERWICK_3549,8,3549,Ketel One Vodka,750mL,3960,DIAGEO NORTH AMERICA INC,8575,2016-01-21,2016-01-29,2016-02-03,2016-03-06,17.82,1,17.82,1,750.0
76_DONCASTER_11488,76,11488,C K Mondavi Cab Svgn,1.5L,2000,SOUTHERN WINE & SPIRITS NE,11060,2016-07-04,2016-07-15,2016-07-20,2016-08-29,7.53,4,30.12,2,1500.0
34_PITMERDEN_8473,34,8473,1800 Silver Tequila,1.75L,7245,PROXIMO SPIRITS INC.,11630,2016-08-12,2016-08-15,2016-08-26,2016-09-29,24.44,4,97.76,1,1750.0
10_HORNSEY_18642,10,18642,Yellow Tail Pink Moscato,1.5L,4425,MARTIGNETTI COMPANIES,10757,2016-06-20,2016-06-29,2016-07-07,2016-08-21,5.81,18,104.58,2,1500.0
49_GARIGILL_3584,49,3584,Absolut Raspberri,750mL,17035,PERNOD RICARD USA,8609,2016-01-24,2016-02-01,2016-02-08,2016-03-17,12.49,12,149.88,1,750.0
73_DONCASTER_43450,73,43450,Fish Eye Pnt Grigio,3L,9815,WINE GROUP INC,12234,2016-09-22,2016-09-29,2016-10-11,2016-11-09,11.33,6,67.98,2,3000.0
15_WANBORNE_35709,15,35709,Colosi Sicilia Dry Red,750mL,9552,M S WALKER INC,10972,2016-06-29,2016-07-05,2016-07-13,2016-08-21,7.09,12,85.08,2,750.0
61_AETHELNEY_3405,61,3405,Tito's Handmade Vodka,1.75L,4425,MARTIGNETTI COMPANIES,8276,2015-12-31,2016-01-04,2016-01-18,2016-02-28,23.19,10,231.9,1,1750.0
76_DONCASTER_5087,76,5087,Dr McGillicuddy's Peach,750mL,8004,SAZERAC CO INC,12684,2016-10-19,2016-10-24,2016-11-01,2016-12-11,9.35,11,102.85,1,750.0
79_BALLYMENA_115,79,115,Belvedere Vodka,Liter,8112,MOET HENNESSY USA INC,9171,2016-03-02,2016-03-08,2016-03-16,2016-04-20,21.37,5,106.85,1,
11_CARDEND_42099,11,42099,Bota Box Pnt Grigio Cal,3L,2242,DELICATO VINEYARDS INC,10602,2016-06-09,2016-06-16,2016-06-21,2016-07-29,11.4,3,34.2,2,3000.0
34_PITMERDEN_3104,34,3104,Smirnoff Whipped Cream,750mL,3960,DIAGEO NORTH AMERICA INC,13597,2016-12-20,2016-12-29,2017-01-10,2017-02-08,8.72,10,87.2,1,750.0
53_HILLFAR_44037,53,44037,Barefoot Pnt Grigio Cal,750mL,3252,E & J GALLO WINERY,12859,2016-11-01,2016-11-09,2016-11-16,2016-12-20,3.42,12,41.04,2,750.0
49_GARIGILL_2189,49,2189,Cleveland Black Rsv Whiskey,750mL,9165,ULTRA BEVERAGE COMPANY LLP,11898,2016-08-31,2016-09-06,2016-09-17,2016-10-26,19.83,6,118.98,1,750.0
41_LARNWICK_32826,41,32826,Rombauer Carneros Chard,750mL,4425,MARTIGNETTI COMPANIES,13511,2016-12-14,2016-12-23,2017-01-02,2017-02-02,22.41,9,201.69,2,750.0
47_PELLA'S WISH_3580,47,3580,Smirnoff Orange Vodka,750mL,3960,DIAGEO NORTH AMERICA INC,11300,2016-07-21,2016-07-29,2016-08-03,2016-09-14,8.08,11,88.88,1,750.0
21_BALERNO_26463,21,26463,Ravenswood Vints Blend Znfdl,750mL,1392,CONSTELLATION BRANDS INC,11071,2016-07-05,2016-07-12,2016-07-18,2016-09-03,4.65,12,55.8,2,750.0
47_PELLA'S WISH_39087,47,39087,Corbett Canyon Pnt Grigio,3L,9815,WINE GROUP INC,13661,2016-12-23,2016-12-29,2017-01-09,2017-02-08,6.66,6,39.96,2,3000.0
63_SWORDBREAK_8537,63,8537,Dom Chandon Brut Cuvee,750mL,8112,MOET HENNESSY USA INC,12096,2016-09-14,2016-09-20,2016-10-01,2016-11-06,9.39,12,112.68,2,750.0
73_DONCASTER_18568,73,18568,A by Acacia Unoaked Chard Ca,750mL,1590,DIAGEO CHATEAU ESTATE WINES,10036,2016-05-02,2016-05-13,2016-05-17,2016-07-01,6.89,11,75.79,2,750.0
23_ARBINGTON_6174,23,6174,Columbia Crest Grand Merlot,750mL,8673,STE MICHELLE WINE ESTATES,12480,2016-10-05,2016-10-13,2016-10-23,2016-11-20,5.8,12,69.6,2,750.0
63_SWORDBREAK_6570,63,6570,Kendall Jackson Chard Vt RSV,750mL,10000,MAJESTIC FINE WINES,12199,2016-09-21,2016-09-27,2016-10-06,2016-11-18,6.77,36,243.72,2,750.0
72_HARDERSFIELD_6524,72,6524,Rosemount Diamond Shiraz,750mL,4425,MARTIGNETTI COMPANIES,12995,2016-11-09,2016-11-14,2016-11-29,2017-01-03,4.57,12,54.84,2,750.0
38_GOULCREST_34134,38,34134,Turning Leaf RSV Chard Cal,1.5L,3252,E & J GALLO WINERY,11413,2016-07-29,2016-08-03,2016-08-08,2016-09-21,5.84,6,35.04,2,1500.0
41_LARNWICK_2852,41,2852,Bushmills 10 Yr Irish Whisky,750mL,7245,PROXIMO SPIRITS INC.,13617,2016-12-21,2016-12-28,2017-01-10,2017-02-10,30.14,6,180.84,1,750.0
72_HARDERSFIELD_15393,72,15393,Cupcake Pnt Grigio,750mL,9815,WINE GROUP INC,9503,2016-03-24,2016-03-28,2016-04-11,2016-05-17,4.51,12,54.12,2,750.0
64_CESTERFIELD_34460,64,34460,Dr Loosen Rsl 'Dr L' M,750mL,4425,MARTIGNETTI COMPANIES,8696,2016-01-29,2016-02-02,2016-02-14,2016-03-25,7.23,12,86.76,2,750.0
73_DONCASTER_2466,73,2466,Crown Royal Maple Whisky,1.75L,3960,DIAGEO NORTH AMERICA INC,11589,2016-08-10,2016-08-18,2016-08-30,2016-10-05,29.62,6,177.72,1,1750.0
61_AETHELNEY_18027,61,18027,Banfi Rosa Regale,750mL,516,BANFI PRODUCTS CORP,12632,2016-10-17,2016-10-24,2016-11-01,2016-12-18,9.08,30,272.4,2,750.0
56_BEGGAR'S HOLE_10723,56,10723,R M Woodbridge Chard,1.5L,1392,CONSTELLATION BRANDS INC,13319,2016-12-02,2016-12-08,2016-12-18,2017-01-28,6.2,5,31.0,2,1500.0
55_DRY GULCH_2287,55,2287,Johnnie Walker Double Black,750mL,3960,DIAGEO NORTH AMERICA INC,11191,2016-07-14,2016-07-20,2016-08-01,2016-09-07,29.22,6,175.32,1,750.0
66_EANVERNESS_8819,66,8819,Leroux Blackberry Brandy,750mL,12546,JIM BEAM BRANDS COMPANY,11867,2016-08-30,2016-09-07,2016-09-13,2016-10-18,5.1,12,61.2,1,750.0
52_GRAYCOTT_3766,52,3766,Three Olives Grape Vodka,750mL,7245,PROXIMO SPIRITS INC.,11016,2016-07-01,2016-07-08,2016-07-12,2016-08-21,9.35,12,112.2,1,750.0
24_PALPERROTH_27867,24,27867,Vendange Merlot,1.5L,1392,CONSTELLATION BRANDS INC,10190,2016-05-12,2016-05-19,2016-05-27,2016-06-26,4.72,6,28.32,2,1500.0
11_CARDEND_3405,11,3405,Tito's Handmade Vodka,1.75L,4425,MARTIGNETTI COMPANIES,12711,2016-10-21,2016-10-24,2016-11-06,2016-12-08,23.19,15,347.85,1,1750.0
10_HORNSEY_7293,10,7293,Chi Chi's Skinny Margarita,1.75L,660,SAZERAC NORTH AMERICA INC.,11599,2016-08-10,2016-08-16,2016-08-23,2016-09-23,5.96,6,35.76,1,1750.0
56_BEGGAR'S HOLE_15229,56,15229,The Prisoner Red Napa Valley,750mL,1392,CONSTELLATION BRANDS INC,11793,2016-08-24,2016-08-30,2016-09-13,2016-10-08,26.11,12,313.32,2,750.0
19_WINTERVALE_14006,19,14006,Apothic Winemakers Red Blend,750mL,3252,E & J GALLO WINERY,10500,2016-06-02,2016-06-09,2016-06-16,2016-07-30,5.44,24,130.56,2,750.0
71_CLARCTON_5364,71,5364,Kahlua,1.75L,17035,PERNOD RICARD USA,8805,2016-02-05,2016-02-11,2016-02-17,2016-03-22,23.07,11,253.77,1,1750.0
73_DONCASTER_3680,73,3680,Stolichnaya Ohranj,1.75L,8664,"STOLI GROUP,(USA) LLC",10198,2016-05-12,2016-05-19,2016-05-26,2016-07-05,18.93,5,94.65,1,1750.0
6_GOULCREST_3858,6,3858,Grey Goose Vodka,750mL,480,BACARDI USA INC,12236,2016-09-23,2016-09-28,2016-10-07,2016-11-10,17.77,10,177.7,1,750.0
66_EANVERNESS_37419,66,37419,Provenance Cab Svgn Rutherfd,750mL,1590,DIAGEO CHATEAU ESTATE WINES,10313,2016-05-20,2016-05-27,2016-05-31,2016-06-30,24.65,24,591.6,2,750.0
