inventoryid,store,city,brand,description,size,onhand,price,startdate
1_HARDERSFIELD_281,1,HARDERSFIELD,281,Kamora Coffee Gift Pack,750mL,1,9.99,2016-01-01
1_HARDERSFIELD_283,1,HARDERSFIELD,283,Milagro Tequila Reposado SBR,750mL,4,57.99,2016-01-01
1_HARDERSFIELD_284,1,HARDERSFIELD,284,Milagro Tequila Anejo SBR,750mL,2,77.99,2016-01-01
1_HARDERSFIELD_294,1,HARDERSFIELD,294,Old Mexico Gold Tequila,Liter,28,8.49,2016-01-01
1_HARDERSFIELD_305,1,HARDERSFIELD,305,Crown Royal Canadian Whisky,Liter,0,27.99,2016-01-01
1_HARDERSFIELD_311,1,HARDERSFIELD,311,The Glenlivet 12 Yr Gift Pk,750mL,8,41.99,2016-01-01
1_HARDERSFIELD_323,1,HARDERSFIELD,323,Tequila Rose Strawberry Gift,750mL,6,13.99,2016-01-01
1_HARDERSFIELD_344,1,HARDERSFIELD,344,Punt e Mes Sweet Vermouth,750mL,3,19.99,2016-01-01
1_HARDERSFIELD_356,1,HARDERSFIELD,356,Carolans Irish Cr Gift Set,750mL,0,11.49,2016-01-01
1_HARDERSFIELD_361,1,HARDERSFIELD,361,Effen Cucumber Vodka,750mL,10,19.99,2016-01-01
1_HARDERSFIELD_366,1,HARDERSFIELD,366,Crown Royal w/2 Glasses,750mL,2,21.99,2016-01-01
1_HARDERSFIELD_376,1,HARDERSFIELD,376,Aperol Liqueur,750mL,7,28.99,2016-01-01
1_HARDERSFIELD_381,1,HARDERSFIELD,381,Baileys Irish Cream w/4 Glss,750mL,7,18.99,2016-01-01
1_HARDERSFIELD_384,1,HARDERSFIELD,384,Ardbeg Corryvreckan Scotch,750mL,8,69.99,2016-01-01
1_HARDERSFIELD_388,1,HARDERSFIELD,388,Smirnoff 80 Proof,Liter,25,14.49,2016-01-01
1_HARDERSFIELD_403,1,HARDERSFIELD,403,Kahlua Midnight,Liter,6,23.99,2016-01-01
1_HARDERSFIELD_408,1,HARDERSFIELD,408,Wild Turkey American Honey,750mL,57,17.99,2016-01-01
1_HARDERSFIELD_415,1,HARDERSFIELD,415,Jose Cuervo Especial,Liter,27,20.99,2016-01-01
1_HARDERSFIELD_419,1,HARDERSFIELD,419,Absolut Citron,Liter,2,19.99,2016-01-01
1_HARDERSFIELD_425,1,HARDERSFIELD,425,Hennessy Paradis,750mL,1,799.99,2016-01-01
1_HARDERSFIELD_426,1,HARDERSFIELD,426,Crystal Head Vodka,50mL,48,7.99,2016-01-01
1_HARDERSFIELD_435,1,HARDERSFIELD,435,Il Tramonto Limoncello,750mL,8,15.99,2016-01-01
1_HARDERSFIELD_438,1,HARDERSFIELD,438,Licor 43 Vanilla Liqueur,750mL,11,18.99,2016-01-01
1_HARDERSFIELD_443,1,HARDERSFIELD,443,St Germain Liqueur,750mL,14,33.99,2016-01-01
1_HARDERSFIELD_450,1,HARDERSFIELD,450,Vincent Van Gogh Double Esp,750mL,7,24.99,2016-01-01
1_HARDERSFIELD_463,1,HARDERSFIELD,463,Kirk & Sweeney 12Yr Old Rum,750mL,3,33.99,2016-01-01
1_HARDERSFIELD_482,1,HARDERSFIELD,482,Absolut 80 Proof,Liter,0,19.99,2016-01-01
1_HARDERSFIELD_485,1,HARDERSFIELD,485,Seagrams 7 Crown,Liter,17,12.99,2016-01-01
1_HARDERSFIELD_497,1,HARDERSFIELD,497,Capt Morgan Spiced Rum,Liter,16,19.99,2016-01-01
1_HARDERSFIELD_508,1,HARDERSFIELD,508,Bacardi Superior Rum,Liter,36,15.49,2016-01-01
1_HARDERSFIELD_513,1,HARDERSFIELD,513,Ocean Vodka,750mL,0,28.99,2016-01-01
1_HARDERSFIELD_515,1,HARDERSFIELD,515,Hirsch Selection Bourbon,750mL,2,34.99,2016-01-01
1_HARDERSFIELD_523,1,HARDERSFIELD,523,Castello Del Poggio Moscato,750mL,4,10.49,2016-01-01
1_HARDERSFIELD_525,1,HARDERSFIELD,525,El Tesoro Anejo Gold Tequil,750mL,6,39.99,2016-01-01
1_HARDERSFIELD_536,1,HARDERSFIELD,536,Svedka Cherry Vodka,Liter,15,12.99,2016-01-01
1_HARDERSFIELD_538,1,HARDERSFIELD,538,Amaretto DiSaronno,375mL,0,10.99,2016-01-01
1_HARDERSFIELD_539,1,HARDERSFIELD,539,Bowman's Vodka,Liter,0,5.79,2016-01-01
1_HARDERSFIELD_543,1,HARDERSFIELD,543,Berkshire Mtn Ethereal Gin,750mL,5,29.99,2016-01-01
1_HARDERSFIELD_555,1,HARDERSFIELD,555,Art In The Age Sage,750mL,4,32.99,2016-01-01
1_HARDERSFIELD_567,1,HARDERSFIELD,567,Ketel One Vodka,Liter,15,28.99,2016-01-01
1_HARDERSFIELD_597,1,HARDERSFIELD,597,Baileys Irish Cream,Liter,1,27.99,2016-01-01
1_HARDERSFIELD_649,1,HARDERSFIELD,649,Sauza Tres Generaciones Pla,750mL,5,39.99,2016-01-01
1_HARDERSFIELD_652,1,HARDERSFIELD,652,Frangelico Gift Pack-Candle,750mL,1,21.99,2016-01-01
1_HARDERSFIELD_653,1,HARDERSFIELD,653,Dom de Canton Ginger Liqueur,750mL,5,37.99,2016-01-01
1_HARDERSFIELD_659,1,HARDERSFIELD,659,Rhum Barbancourt Estate RSV,750mL,6,33.99,2016-01-01
1_HARDERSFIELD_661,1,HARDERSFIELD,661,Red Stag by Jim Beam,750mL,33,13.99,2016-01-01
1_HARDERSFIELD_664,1,HARDERSFIELD,664,Ardbeg Uigeadail Scotch,750mL,8,73.99,2016-01-01
1_HARDERSFIELD_676,1,HARDERSFIELD,676,Pinnacle Whipped Vodka,750mL,0,10.99,2016-01-01
1_HARDERSFIELD_680,1,HARDERSFIELD,680,Midnight Moon Strawberry,750mL,36,19.99,2016-01-01
1_HARDERSFIELD_686,1,HARDERSFIELD,686,Midnight Moon Cherry,750mL,14,19.99,2016-01-01
1_HARDERSFIELD_693,1,HARDERSFIELD,693,Svedka Vanilla Vodka,Liter,7,12.99,2016-01-01
1_HARDERSFIELD_742,1,HARDERSFIELD,742,DeKuyper Spearmint Schnapps,Liter,10,12.99,2016-01-01
1_HARDERSFIELD_743,1,HARDERSFIELD,743,Angels Envy Whiskey,750mL,2,49.99,2016-01-01
1_HARDERSFIELD_753,1,HARDERSFIELD,753,LaBelle Winery Blueberry,750mL,3,19.99,2016-01-01
1_HARDERSFIELD_757,1,HARDERSFIELD,757,Jim Beam Rye,750mL,17,17.99,2016-01-01
1_HARDERSFIELD_759,1,HARDERSFIELD,759,Bunnahabhain 12 Yr Single,750mL,6,51.99,2016-01-01
1_HARDERSFIELD_779,1,HARDERSFIELD,779,Svedka Raspberry Vodka,Liter,6,12.99,2016-01-01
1_HARDERSFIELD_780,1,HARDERSFIELD,780,Svedka Clementine Vodka,Liter,14,12.99,2016-01-01
1_HARDERSFIELD_782,1,HARDERSFIELD,782,Remy Martin 1738 Accord Ryl,750mL,3,44.99,2016-01-01
1_HARDERSFIELD_802,1,HARDERSFIELD,802,Bacardi Torched Cherry Rum,750mL,6,9.99,2016-01-01
1_HARDERSFIELD_807,1,HARDERSFIELD,807,Jim Beam,Liter,10,17.99,2016-01-01
1_HARDERSFIELD_809,1,HARDERSFIELD,809,Southern Comfort,Liter,5,19.99,2016-01-01
1_HARDERSFIELD_810,1,HARDERSFIELD,810,Bacardi Black Razz,750mL,12,9.99,2016-01-01
1_HARDERSFIELD_811,1,HARDERSFIELD,811,Jack Daniels No 7 Black,Liter,0,27.99,2016-01-01
1_HARDERSFIELD_812,1,HARDERSFIELD,812,Jagermeister Liqueur,Liter,27,22.99,2016-01-01
1_HARDERSFIELD_821,1,HARDERSFIELD,821,Grand Marnier,Liter,9,38.99,2016-01-01
1_HARDERSFIELD_822,1,HARDERSFIELD,822,Tanqueray,Liter,0,26.99,2016-01-01
1_HARDERSFIELD_824,1,HARDERSFIELD,824,Dewars White Label Scotch,Liter,0,26.99,2016-01-01
1_HARDERSFIELD_828,1,HARDERSFIELD,828,Bols Sloe Gin,Liter,10,9.99,2016-01-01
1_HARDERSFIELD_831,1,HARDERSFIELD,831,Bols Green Creme De Menthe,Liter,12,9.99,2016-01-01
1_HARDERSFIELD_836,1,HARDERSFIELD,836,Bols Creme de Cassis,Liter,12,9.99,2016-01-01
1_HARDERSFIELD_838,1,HARDERSFIELD,838,Bols Cherry Flavored Brandy,Liter,2,10.99,2016-01-01
1_HARDERSFIELD_854,1,HARDERSFIELD,854,Seagrams VO Canadian Whiskey,Liter,15,15.99,2016-01-01
1_HARDERSFIELD_856,1,HARDERSFIELD,856,Chinaco Blanco Tequila,750mL,21,29.99,2016-01-01
1_HARDERSFIELD_857,1,HARDERSFIELD,857,Kahlua,Liter,6,22.99,2016-01-01
1_HARDERSFIELD_858,1,HARDERSFIELD,858,Canadian Club,Liter,5,11.99,2016-01-01
1_HARDERSFIELD_859,1,HARDERSFIELD,859,Beefeater Gin,Liter,6,22.99,2016-01-01
1_HARDERSFIELD_870,1,HARDERSFIELD,870,Carpano Antica Formula,Liter,2,26.99,2016-01-01
1_HARDERSFIELD_876,1,HARDERSFIELD,876,DeKuyper Creme de Cacao Whit,Liter,12,8.99,2016-01-01
1_HARDERSFIELD_883,1,HARDERSFIELD,883,Patron Burdeos Anejo Tequila,750mL,2,499.99,2016-01-01
1_HARDERSFIELD_889,1,HARDERSFIELD,889,DeKuyper Sour Apple Pucker,Liter,1,12.99,2016-01-01
1_HARDERSFIELD_892,1,HARDERSFIELD,892,Uncle Val's Botanical Gin,750mL,5,33.99,2016-01-01
1_HARDERSFIELD_895,1,HARDERSFIELD,895,Sambuca Romana,Liter,1,23.99,2016-01-01
1_HARDERSFIELD_903,1,HARDERSFIELD,903,Bombay Sapphire Gin,Liter,13,26.99,2016-01-01
1_HARDERSFIELD_934,1,HARDERSFIELD,934,Tanteo Jalapeno Tequila,750mL,12,35.99,2016-01-01
1_HARDERSFIELD_938,1,HARDERSFIELD,938,Jack Daniels Master Dist VAP,750mL,0,29.99,2016-01-01
1_HARDERSFIELD_942,1,HARDERSFIELD,942,Glenmorangie Nectar D'Or,750mL,2,59.99,2016-01-01
1_HARDERSFIELD_950,1,HARDERSFIELD,950,Mastersons 10 Yr Old Rye,750mL,2,79.99,2016-01-01
1_HARDERSFIELD_966,1,HARDERSFIELD,966,Patron Citronge Orange Liqu,750mL,31,20.99,2016-01-01
1_HARDERSFIELD_970,1,HARDERSFIELD,970,Prairie Organic Kosher Vodka,750mL,8,15.99,2016-01-01
1_HARDERSFIELD_971,1,HARDERSFIELD,971,Sauza Extra Gold Tequila,Liter,16,15.99,2016-01-01
1_HARDERSFIELD_984,1,HARDERSFIELD,984,Patron XO Cafe Liqueur,750mL,42,25.99,2016-01-01
1_HARDERSFIELD_999,1,HARDERSFIELD,999,Jameson 18 Year Old,750mL,0,119.99,2016-01-01
1_HARDERSFIELD_1000,1,HARDERSFIELD,1000,Goslings Dark'n Stormy VAP,750mL,0,14.99,2016-01-01
1_HARDERSFIELD_1001,1,HARDERSFIELD,1001,Baileys 50mL 4 Pack,50mL 4 Pk,0,5.99,2016-01-01
1_HARDERSFIELD_1004,1,HARDERSFIELD,1004,Jim Beam w/2 Rocks Glasses,750mL,17,16.49,2016-01-01
1_HARDERSFIELD_1005,1,HARDERSFIELD,1005,Maker's Mark Combo Pack,375mL 2 Pk,7,34.99,2016-01-01
1_HARDERSFIELD_1006,1,HARDERSFIELD,1006,Jim Beam Candy Cane 4/50mLs,50mL 4 Pk,1,3.99,2016-01-01
1_HARDERSFIELD_1009,1,HARDERSFIELD,1009,Rebel Yell Variety Pack,750mL 3 Pk,1,49.99,2016-01-01
1_HARDERSFIELD_1012,1,HARDERSFIELD,1012,Courvoisier VSOP VAP,750mL,7,34.99,2016-01-01
1_HARDERSFIELD_1013,1,HARDERSFIELD,1013,Kahlua Pumpkin Spice Liqueur,750mL,4,18.99,2016-01-01
1_HARDERSFIELD_1019,1,HARDERSFIELD,1019,Drambuie Glass Pack,750mL,18,26.99,2016-01-01
1_HARDERSFIELD_1020,1,HARDERSFIELD,1020,B & B Dom Glass Pack,750mL,1,24.99,2016-01-01
1_HARDERSFIELD_1021,1,HARDERSFIELD,1021,St Brendans Peppermint Bark,750mL,12,13.99,2016-01-01
1_HARDERSFIELD_1022,1,HARDERSFIELD,1022,St Brendans Salted Caramel,750mL,0,13.99,2016-01-01
1_HARDERSFIELD_1023,1,HARDERSFIELD,1023,Hennessy VSOP Cognac + 50mL,750mL,59,51.99,2016-01-01
1_HARDERSFIELD_1024,1,HARDERSFIELD,1024,Hennessy VS +VSOP 50mL,750mL,53,31.99,2016-01-01
1_HARDERSFIELD_1029,1,HARDERSFIELD,1029,Fulton's Harvest Apple Pie L,750mL,3,9.99,2016-01-01
1_HARDERSFIELD_1030,1,HARDERSFIELD,1030,Ole Smoky Pumpkin Pie,750mL,6,18.99,2016-01-01
1_HARDERSFIELD_1031,1,HARDERSFIELD,1031,Avion Tasting Flight 3/375mL,375mL 3 Pk,5,49.99,2016-01-01
1_HARDERSFIELD_1033,1,HARDERSFIELD,1033,Chivas Regal w/ 2 Glasses,750mL,17,29.99,2016-01-01
1_HARDERSFIELD_1034,1,HARDERSFIELD,1034,Mr Boston Holiday Nog,750mL,0,4.99,2016-01-01
1_HARDERSFIELD_1035,1,HARDERSFIELD,1035,Pinnacle Vodka Gift Pak,750mL + 3/,4,12.99,2016-01-01
1_HARDERSFIELD_1036,1,HARDERSFIELD,1036,Jameson Trilogy Pack,200mL 3 Pk,5,39.99,2016-01-01
1_HARDERSFIELD_1037,1,HARDERSFIELD,1037,JP Wiser's Rye w/ 2 Glasses,750mL,1,19.99,2016-01-01
1_HARDERSFIELD_1038,1,HARDERSFIELD,1038,1800 Silver w/ Shot Glasses,750mL,0,21.99,2016-01-01
1_HARDERSFIELD_1039,1,HARDERSFIELD,1039,Three Olives Vodka w/Flask,750mL,21,14.99,2016-01-01
1_HARDERSFIELD_1051,1,HARDERSFIELD,1051,Woodford Reserve MC 1838,750mL,3,99.99,2016-01-01
1_HARDERSFIELD_1059,1,HARDERSFIELD,1059,Old St Nick's Egg Nog,750mL,0,5.99,2016-01-01
1_HARDERSFIELD_1060,1,HARDERSFIELD,1060,Jack Daniels Bruins Glass Pk,Liter,38,27.99,2016-01-01
1_HARDERSFIELD_1061,1,HARDERSFIELD,1061,Christian Bros Holiday Nog,750mL,3,6.99,2016-01-01
1_HARDERSFIELD_1064,1,HARDERSFIELD,1064,Jack Daniels Honey + Glass,750mL,55,26.99,2016-01-01
1_HARDERSFIELD_1065,1,HARDERSFIELD,1065,DiSaronno Cavalli Collection,50mL 3 Pk,5,12.99,2016-01-01
1_HARDERSFIELD_1066,1,HARDERSFIELD,1066,DiSaronno Cavalli Glass Pack,750mL,0,19.99,2016-01-01
1_HARDERSFIELD_1094,1,HARDERSFIELD,1094,Four Roses Single Barrel Brb,750mL,3,41.99,2016-01-01
1_HARDERSFIELD_1106,1,HARDERSFIELD,1106,Aberfeldy Single Cask,750mL,8,229.99,2016-01-01
1_HARDERSFIELD_1112,1,HARDERSFIELD,1112,Ardbeg Exploration Pk +50mls,750mL,23,46.99,2016-01-01
1_HARDERSFIELD_1133,1,HARDERSFIELD,1133,Glenmorangie Collection 4 Pk,100mL 4 Pk,0,31.99,2016-01-01
1_HARDERSFIELD_1135,1,HARDERSFIELD,1135,Rebel Reserve Bourbon,750mL,7,20.99,2016-01-01
1_HARDERSFIELD_1148,1,HARDERSFIELD,1148,Old New England Egg Nog,750mL,0,6.99,2016-01-01
1_HARDERSFIELD_1168,1,HARDERSFIELD,1168,Old Grand Dad Bonded,750mL,6,19.99,2016-01-01
1_HARDERSFIELD_1174,1,HARDERSFIELD,1174,Rebel Yell,1.75L,12,19.99,2016-01-01
1_HARDERSFIELD_1178,1,HARDERSFIELD,1178,Evan Williams Black Label B,750mL,9,11.49,2016-01-01
1_HARDERSFIELD_1180,1,HARDERSFIELD,1180,Evan Williams Black Label B,1.75L,16,20.99,2016-01-01
1_HARDERSFIELD_1181,1,HARDERSFIELD,1181,Kahlua Peppermint Mocha,750mL,0,18.99,2016-01-01
1_HARDERSFIELD_1186,1,HARDERSFIELD,1186,Evan Williams Single Barrel,750mL,5,27.99,2016-01-01
1_HARDERSFIELD_1212,1,HARDERSFIELD,1212,DiSaronna Amaretto Sour VAP,750mL,48,19.99,2016-01-01
1_HARDERSFIELD_1214,1,HARDERSFIELD,1214,Evan Williams Kentucky Cider,750mL,5,9.99,2016-01-01
1_HARDERSFIELD_1220,1,HARDERSFIELD,1220,Woodford Reserve Bourbon,750mL,0,29.99,2016-01-01
1_HARDERSFIELD_1226,1,HARDERSFIELD,1226,Lexington Bourbon,750mL,5,25.99,2016-01-01
1_HARDERSFIELD_1228,1,HARDERSFIELD,1228,Glenfiddich Ancient RSV 18,750mL,8,94.99,2016-01-01
1_HARDERSFIELD_1231,1,HARDERSFIELD,1231,Jack Daniels No 7 Black,375mL,10,12.99,2016-01-01
1_HARDERSFIELD_1232,1,HARDERSFIELD,1232,Jack Daniels No 7 Black,750mL,32,26.99,2016-01-01
1_HARDERSFIELD_1233,1,HARDERSFIELD,1233,Jack Daniels No 7 Black,1.75L,98,35.99,2016-01-01
1_HARDERSFIELD_1237,1,HARDERSFIELD,1237,Jack Daniels Single Barrel,750mL,14,44.99,2016-01-01
1_HARDERSFIELD_1238,1,HARDERSFIELD,1238,The Glenlivet 12 Yr Single,50mL,52,4.99,2016-01-01
1_HARDERSFIELD_1239,1,HARDERSFIELD,1239,Booker's Bourbon,750mL,16,50.99,2016-01-01
1_HARDERSFIELD_1244,1,HARDERSFIELD,1244,Jack Daniels Winter Jack,750mL,0,15.99,2016-01-01
1_HARDERSFIELD_1258,1,HARDERSFIELD,1258,Jim Beam Black,750mL,19,22.99,2016-01-01
1_HARDERSFIELD_1259,1,HARDERSFIELD,1259,St George Gin 3/200mls Combo,200mL 3 Pk,1,27.99,2016-01-01
1_HARDERSFIELD_1269,1,HARDERSFIELD,1269,Jeffersons Bourbon,750mL,9,25.99,2016-01-01
1_HARDERSFIELD_1271,1,HARDERSFIELD,1271,Jeffersons Reserve Bourbon,750mL,4,49.99,2016-01-01
1_HARDERSFIELD_1273,1,HARDERSFIELD,1273,Jim Beam Choice,1.75L,10,31.99,2016-01-01
1_HARDERSFIELD_1274,1,HARDERSFIELD,1274,No. 14 Bourbon,750mL,0,44.99,2016-01-01
1_HARDERSFIELD_1278,1,HARDERSFIELD,1278,Jim Beam Black,1.75L,34,35.99,2016-01-01
1_HARDERSFIELD_1281,1,HARDERSFIELD,1281,Benchmark Old #8 Bourbon,1.75L,7,14.99,2016-01-01
1_HARDERSFIELD_1282,1,HARDERSFIELD,1282,1792 Small Batch Bourbon.,750mL,0,25.99,2016-01-01
1_HARDERSFIELD_1295,1,HARDERSFIELD,1295,Jack Daniels No 7 Black,100mL,13,3.99,2016-01-01
1_HARDERSFIELD_1296,1,HARDERSFIELD,1296,Tap 357 Maple Rye Whisky,750mL,3,26.99,2016-01-01
1_HARDERSFIELD_1309,1,HARDERSFIELD,1309,Makers Mark Cask Strength,750mL,0,59.99,2016-01-01
1_HARDERSFIELD_1323,1,HARDERSFIELD,1323,Early Times,1.75L,10,17.99,2016-01-01
1_HARDERSFIELD_1330,1,HARDERSFIELD,1330,Grey Goose Glass Pack,1.75L,2,48.99,2016-01-01
1_HARDERSFIELD_1336,1,HARDERSFIELD,1336,Gr Marnier Cordon Rouge VAP,750mL,44,26.99,2016-01-01
1_HARDERSFIELD_1340,1,HARDERSFIELD,1340,Jim Beam Jacob's Ghost,750mL,15,21.99,2016-01-01
1_HARDERSFIELD_1343,1,HARDERSFIELD,1343,Jack Daniels Sinatra Select,Liter,4,165.99,2016-01-01
1_HARDERSFIELD_1345,1,HARDERSFIELD,1345,Basil Hayden Bourbon,750mL,6,37.99,2016-01-01
1_HARDERSFIELD_1346,1,HARDERSFIELD,1346,Knob Creek Bourbon,750mL,14,29.99,2016-01-01
1_HARDERSFIELD_1347,1,HARDERSFIELD,1347,Bakers Bourbon,750mL,23,39.99,2016-01-01
1_HARDERSFIELD_1348,1,HARDERSFIELD,1348,Knob Creek Bourbon,375mL,0,15.99,2016-01-01
1_HARDERSFIELD_1355,1,HARDERSFIELD,1355,Knob Creek Bourbon,50mL,51,3.49,2016-01-01
1_HARDERSFIELD_1358,1,HARDERSFIELD,1358,Knob Creek Bourbon,1.75L,5,61.99,2016-01-01
1_HARDERSFIELD_1359,1,HARDERSFIELD,1359,Knob Creek Rye,750mL,5,27.99,2016-01-01
1_HARDERSFIELD_1361,1,HARDERSFIELD,1361,BenRiach 1994,750mL,3,189.99,2016-01-01
1_HARDERSFIELD_1364,1,HARDERSFIELD,1364,Bols Pumpkin Spice,750mL,1,9.99,2016-01-01
1_HARDERSFIELD_1365,1,HARDERSFIELD,1365,Stoli Mini Bar 5/50mLs Pack,50mL 5 Pk,49,7.99,2016-01-01
1_HARDERSFIELD_1366,1,HARDERSFIELD,1366,Red Stag by Jim Beam,50mL,135,1.29,2016-01-01
1_HARDERSFIELD_1373,1,HARDERSFIELD,1373,Jim Beam Honey,750mL,27,13.99,2016-01-01
1_HARDERSFIELD_1375,1,HARDERSFIELD,1375,Jim Beam,750mL,38,16.49,2016-01-01
1_HARDERSFIELD_1376,1,HARDERSFIELD,1376,Jim Beam,1.75L,85,21.99,2016-01-01
1_HARDERSFIELD_1378,1,HARDERSFIELD,1378,Jim Beam,375mL,0,9.49,2016-01-01
1_HARDERSFIELD_1379,1,HARDERSFIELD,1379,Jim Beam Traveler,750mL,12,16.49,2016-01-01
1_HARDERSFIELD_1380,1,HARDERSFIELD,1380,Bulleit 95 Rye,1.75L,24,46.99,2016-01-01
1_HARDERSFIELD_1382,1,HARDERSFIELD,1382,Makers 46,750mL,4,39.99,2016-01-01
1_HARDERSFIELD_1384,1,HARDERSFIELD,1384,Bulleit 95 Rye,750mL,46,27.99,2016-01-01
1_HARDERSFIELD_1385,1,HARDERSFIELD,1385,Makers Mark,750mL,26,26.99,2016-01-01
1_HARDERSFIELD_1386,1,HARDERSFIELD,1386,George Dickel No 8 Bourbon,750mL,8,19.99,2016-01-01
1_HARDERSFIELD_1388,1,HARDERSFIELD,1388,Red Stag by Jim Beam,1.75L,36,24.99,2016-01-01
1_HARDERSFIELD_1389,1,HARDERSFIELD,1389,Makers Mark,50mL,0,2.99,2016-01-01
1_HARDERSFIELD_1392,1,HARDERSFIELD,1392,Red Stag Hardcore Cider,750mL,11,13.99,2016-01-01
1_HARDERSFIELD_1394,1,HARDERSFIELD,1394,Makers Mark,375mL,12,16.49,2016-01-01
1_HARDERSFIELD_1395,1,HARDERSFIELD,1395,Old Crow,750mL,21,7.99,2016-01-01
1_HARDERSFIELD_1396,1,HARDERSFIELD,1396,Old Crow,1.75L,15,15.99,2016-01-01
1_HARDERSFIELD_1397,1,HARDERSFIELD,1397,Jim Beam Kentucky Fire,750mL,25,13.99,2016-01-01
1_HARDERSFIELD_1398,1,HARDERSFIELD,1398,Blantons Sgl Barrel Bourbon,750mL,0,53.99,2016-01-01
1_HARDERSFIELD_1415,1,HARDERSFIELD,1415,Old Grand Dad,750mL,0,12.99,2016-01-01
1_HARDERSFIELD_1424,1,HARDERSFIELD,1424,Bulleit Bourbon,375mL,0,12.99,2016-01-01
1_HARDERSFIELD_1425,1,HARDERSFIELD,1425,Granite Lightning Whiskey,750mL,14,27.99,2016-01-01
1_HARDERSFIELD_1464,1,HARDERSFIELD,1464,Tin Cup Whiskey,750mL,15,24.99,2016-01-01
1_HARDERSFIELD_1465,1,HARDERSFIELD,1465,Woodford Rsv Bourbon,375mL,0,17.99,2016-01-01
1_HARDERSFIELD_1468,1,HARDERSFIELD,1468,Knob Creek Single Barrel Rsv,750mL,24,41.99,2016-01-01
1_HARDERSFIELD_1476,1,HARDERSFIELD,1476,Jim Beam Traveler,1.75L,0,21.99,2016-01-01
1_HARDERSFIELD_1479,1,HARDERSFIELD,1479,Ten High,1.75L,15,13.99,2016-01-01
1_HARDERSFIELD_1483,1,HARDERSFIELD,1483,DeKuyper Cane Trial Pack,50mL 4 Pk,0,2.99,2016-01-01
1_HARDERSFIELD_1515,1,HARDERSFIELD,1515,Old Overholt,750mL,7,13.99,2016-01-01
1_HARDERSFIELD_1520,1,HARDERSFIELD,1520,Pinnacle Vodka Cane 4/50mls,50mL 4 Pk,5,3.99,2016-01-01
1_HARDERSFIELD_1535,1,HARDERSFIELD,1535,Gentleman Jack,50mL,60,3.99,2016-01-01
1_HARDERSFIELD_1542,1,HARDERSFIELD,1542,Bowen's American Whiskey,750mL,6,29.99,2016-01-01
1_HARDERSFIELD_1545,1,HARDERSFIELD,1545,Gentleman Jack,750mL,48,26.99,2016-01-01
1_HARDERSFIELD_1550,1,HARDERSFIELD,1550,Jack Daniels Tennessee Fire,100mL,3,3.99,2016-01-01
1_HARDERSFIELD_1556,1,HARDERSFIELD,1556,Kahlua w/50mL Absolut+Glass,750mL,1,18.99,2016-01-01
