inventoryid,store,city,brand,description,size,onhand,price,enddate
1_HARDERSFIELD_5780,1,HARDERSFIELD,5780,Malibu Black,750mL,9,13.99,2016-12-31
50_MOUNTMEND_800,50,MOUNTMEND,800,Jameson Irish Whiskey,Liter,96,32.99,2016-12-31
15_WANBORNE_15357,15,WANBORNE,15357,Greystone Cellars Cab Svgn,750mL,7,10.99,2016-12-31
2_ASHBORNE_4898,2,ASHBORNE,4898,Mount Gay Extra Old Rum,750mL,6,39.99,2016-12-31
69_MOUNTMEND_6506,69,MOUNTMEND,6506,Villa Zarri Nocino Liqueur,750mL,4,44.49,2016-12-31
6_GOULCREST_46190,6,GOULCREST,46190,Napa Cellars Merlot,750mL,11,20.99,2016-12-31
9_BLACKPOOL_4450,9,BLACKPOOL,4450,Leblon Natural Cane Cachaca,750mL,3,28.99,2016-12-31
77_TAMWORTH_45294,77,TAMWORTH,45294,C K Mondavi Willw Pnt Grigio,1.5L,11,12.99,2016-12-31
9_BLACKPOOL_2580,9,BLACKPOOL,2580,Barr Hill Gin,750mL,5,34.99,2016-12-31
79_BALLYMENA_2694,79,BALLYMENA,2694,Glenmorangie LaSanta,750mL,8,49.99,2016-12-31
66_EANVERNESS_14342,66,EANVERNESS,14342,Cupcake Pnt Nr,750mL,196,7.49,2016-12-31
69_MOUNTMEND_18856,69,MOUNTMEND,18856,Barefoot Refresh Sweet White,750mL,6,5.99,2016-12-31
14_BROMWICH_2593,14,BROMWICH,2593,James Oliver American Whisky,750mL,7,29.99,2016-12-31
61_AETHELNEY_426,61,AETHELNEY,426,Crystal Head Vodka,50mL,0,7.99,2016-12-31
52_GRAYCOTT_5694,52,GRAYCOTT,5694,Ice Box Mudslide,1.75L,3,9.99,2016-12-31
20_BREDWARDINE_10372,20,BREDWARDINE,10372,Hazlitt Red Cat Finger Lakes,750mL,1,7.99,2016-12-31
34_PITMERDEN_25063,34,PITMERDEN,25063,Jadot Savigny 13 Clos de Gue,750mL,2,39.99,2016-12-31
45_VERITAS_17168,45,VERITAS,17168,Kendall Jackson Vntrs Rsl Rs,750mL,11,9.99,2016-12-31
78_EASTHAVEN_1377,78,EASTHAVEN,1377,Jim Beam Honey,1.75L,3,24.99,2016-12-31
69_MOUNTMEND_45333,69,MOUNTMEND,45333,Cono Sur Svgn Bl Cntrl Vly,750mL,8,7.99,2016-12-31
51_ABERDEEN_8259,51,ABERDEEN,8259,Hornitos Platas Silver,50mL,111,2.49,2016-12-31
69_MOUNTMEND_12465,69,MOUNTMEND,12465,Cline Cashmere Red Cal,750mL,12,14.99,2016-12-31
27_MOUNTMEND_12213,27,MOUNTMEND,12213,Evodia Garnacha Old Vine,750mL,19,8.99,2016-12-31
51_ABERDEEN_1766,51,ABERDEEN,1766,Duggans Dew O Kirkintilloch,50mL,27,0.99,2016-12-31
46__3456,46,,3456,Tanqueray Sterling Vodka,1.75L,0,19.99,2016-12-31
44_PORTHCRAWL_5142,44,PORTHCRAWL,5142,Carolans Irish Cream,1.75L,10,22.99,2016-12-31
68_SOLARIS_20729,68,SOLARIS,20729,Villa Jolanda Peach Moscato,750mL,7,9.99,2016-12-31
75_BARNCOMBE_26827,75,BARNCOMBE,26827,Cavit Merlot Trentino,1.5L,8,9.99,2016-12-31
61_AETHELNEY_6946,61,AETHELNEY,6946,Rosemount Diamond Cab Svgn,750mL,15,8.99,2016-12-31
21_BALERNO_17294,21,BALERNO,17294,Defesa Tinto Red Alentejo,750mL,9,12.99,2016-12-31
11_CARDEND_3306,11,CARDEND,3306,Hammer & Sickle Vodka,1.75L,3,39.99,2016-12-31
51_ABERDEEN_26817,51,ABERDEEN,26817,Ravenswood Vntrs Blnd Merlot,750mL,24,7.99,2016-12-31
9_BLACKPOOL_18347,9,BLACKPOOL,18347,Banfi Pnt Grigio San Angelo,750mL,17,16.99,2016-12-31
21_BALERNO_33038,21,BALERNO,33038,Beringer Fndrs Est Chard,1.5L,56,18.99,2016-12-31
15_WANBORNE_3820,15,WANBORNE,3820,Smirnoff Citrus Vodka,1.75L,28,18.99,2016-12-31
60_IRRAGIN_41159,60,IRRAGIN,41159,Phillips Earthquake Ld Znfdl,750mL,56,24.99,2016-12-31
10_HORNSEY_5242,10,HORNSEY,5242,Cointreau Liqueur,750mL,50,29.99,2016-12-31
68_SOLARIS_5246,68,SOLARIS,5246,Bacardi Party Drinks Zombie,1.75L,0,15.99,2016-12-31
21_BALERNO_3728,21,BALERNO,3728,Absolut Citron,1.75L,40,24.99,2016-12-31
69_MOUNTMEND_33149,69,MOUNTMEND,33149,Alamos Ridge Malbec Mendoza,750mL,61,8.99,2016-12-31
79_BALLYMENA_26827,79,BALLYMENA,26827,Cavit Merlot Trentino,1.5L,9,9.99,2016-12-31
33_HORNSEY_1036,33,HORNSEY,1036,Jameson Trilogy Pack,200mL 3 Pk,4,39.99,2016-12-31
58_HARTLEPOOL_8823,58,HARTLEPOOL,8823,Leroux Apricot Brandy,750mL,14,7.99,2016-12-31
77_TAMWORTH_112,77,TAMWORTH,112,Mr Boston Cr de Cacao White,Liter,10,6.49,2016-12-31
6_GOULCREST_10957,6,GOULCREST,10957,Seaglass Svgn Bl Snt Barbara,750mL,0,8.99,2016-12-31
15_WANBORNE_44083,15,WANBORNE,44083,Wente Reliz Crk Pnt Nr,750mL,33,12.99,2016-12-31
38_GOULCREST_21157,38,GOULCREST,21157,Huber Hugo Gruner Veltliner,750mL,20,12.99,2016-12-31
69_MOUNTMEND_6735,69,MOUNTMEND,6735,Gallo Twin Valley Chard Cal,1.5L,14,9.99,2016-12-31
55_DRY GULCH_3513,55,DRY GULCH,3513,Ciroc Snap Frost Vodka,750mL,47,24.99,2016-12-31
72_HARDERSFIELD_32907,72,HARDERSFIELD,32907,Sterling Vintners Cltn Chard,750mL,57,7.99,2016-12-31
44_PORTHCRAWL_26427,44,PORTHCRAWL,26427,Latour Pouilly Fuisse,750mL,12,21.99,2016-12-31
40_BULLMAR_39491,40,BULLMAR,39491,Flag Hill Red Raspberry Fru,750mL,13,13.99,2016-12-31
50_MOUNTMEND_40561,50,MOUNTMEND,40561,McManis Merlot Cal,750mL,11,10.99,2016-12-31
11_CARDEND_4113,11,CARDEND,4113,Capt Morgan White,50mL,56,0.99,2016-12-31
53_HILLFAR_8112,53,HILLFAR,8112,Stolichnaya,1.75L,33,23.99,2016-12-31
31_HORNSEY_5399,31,HORNSEY,5399,Goldschlager Cinnamon Schna,50mL,99,1.99,2016-12-31
73_DONCASTER_5626,73,DONCASTER,5626,Baja Luna Black Raspberry,750mL,22,9.99,2016-12-31
57_LANTEGLOS_2767,57,LANTEGLOS,2767,Johnnie Walker Blue Label,750mL,4,191.99,2016-12-31
77_TAMWORTH_2245,77,TAMWORTH,2245,Duke Kentucky Bourbon,750mL,12,39.99,2016-12-31
51_ABERDEEN_3487,51,ABERDEEN,3487,Stolichnaya Blueberi,750mL,7,16.99,2016-12-31
66_EANVERNESS_40051,66,EANVERNESS,40051,Concannon Select Vyds Pnt Nr,750mL,37,7.99,2016-12-31
73_DONCASTER_8688,73,DONCASTER,8688,Paul Masson Chablis,3L,12,10.99,2016-12-31
33_HORNSEY_2114,33,HORNSEY,2114,Black Velvet Canadian Whisky,1.75L,74,12.99,2016-12-31
15_WANBORNE_6015,15,WANBORNE,6015,Jackson Morgan Salted Carmel,750mL,6,24.99,2016-12-31
6_GOULCREST_3871,6,GOULCREST,3871,Smirnoff Watermelon Vodka,750mL,11,12.99,2016-12-31
23_ARBINGTON_1876,23,ARBINGTON,1876,Midleton Rare Irish Whiskey,750mL,3,154.99,2016-12-31
50_MOUNTMEND_5694,50,MOUNTMEND,5694,Ice Box Mudslide,1.75L,11,9.99,2016-12-31
77_TAMWORTH_2729,77,TAMWORTH,2729,Hell-Cat Maggie Irish Whisky,750mL,8,19.99,2016-12-31
77_TAMWORTH_5661,77,TAMWORTH,5661,Dr McGillicuddy's Root Beer,750mL,57,13.99,2016-12-31
9_BLACKPOOL_4296,9,BLACKPOOL,4296,Ronrico Silver Rum,1.75L,19,12.99,2016-12-31
23_ARBINGTON_1893,23,ARBINGTON,1893,Port Charlotte Scotch Barley,750mL,8,59.99,2016-12-31
8_ALNERWICK_26092,8,ALNERWICK,26092,Blackstone Merlot Cal,750mL,21,7.99,2016-12-31
23_ARBINGTON_3042,23,ARBINGTON,3042,Ciroc Red Berry Vodka,375mL,8,15.49,2016-12-31
60_IRRAGIN_2942,60,IRRAGIN,2942,Glen Grant 10 Yr Single Malt,750mL,0,39.99,2016-12-31
8_ALNERWICK_1468,8,ALNERWICK,1468,Knob Creek Single Barrel Rsv,750mL,5,41.99,2016-12-31
66_EANVERNESS_4542,66,EANVERNESS,4542,Richland Rum,750mL,7,57.99,2016-12-31
69_MOUNTMEND_5525,69,MOUNTMEND,5525,Fernet-Branca Italian Liquer,750mL,12,24.99,2016-12-31
49_GARIGILL_34427,49,GARIGILL,34427,Frei Bros RSV Cab Svgn Alex,750mL,11,20.99,2016-12-31
7_STANMORE_3637,7,STANMORE,3637,Zhenka Vodka Plastic,750mL,14,5.29,2016-12-31
8_ALNERWICK_33819,8,ALNERWICK,33819,Sokol Blosser Evolution Whit,750mL,4,15.99,2016-12-31
38_GOULCREST_38133,38,GOULCREST,38133,Il Bastardo Sangiovese Tosc,750mL,160,8.99,2016-12-31
20_BREDWARDINE_8339,20,BREDWARDINE,8339,The Glenlivet 12 Yr Single,750mL,24,42.99,2016-12-31
76_DONCASTER_1003,76,DONCASTER,1003,Crown Royal VAP Glass+Coastr,750mL,222,22.99,2016-12-31
59_CLAETHORPES_3790,59,CLAETHORPES,3790,Don Julio Blanco Tequila,750mL,9,46.99,2016-12-31
6_GOULCREST_23974,6,GOULCREST,23974,Catena RSV Chard,750mL,6,16.99,2016-12-31
42_BLACK HOLLOW_24493,42,BLACK HOLLOW,24493,Buehler Cab Svgn Napa,750mL,5,26.99,2016-12-31
2_ASHBORNE_3694,2,ASHBORNE,3694,Stolichnaya Razberi,750mL,5,16.99,2016-12-31
50_MOUNTMEND_3335,50,MOUNTMEND,3335,Tanqueray Sterling Vodka,750mL,5,10.99,2016-12-31
50_MOUNTMEND_5691,50,MOUNTMEND,5691,P & J Cold Soaked Pineapples,375mL,1,13.99,2016-12-31
67_EANVERNESS_1993,67,EANVERNESS,1993,Maker's Mark 46,375mL,0,18.99,2016-12-31
50_MOUNTMEND_6798,50,MOUNTMEND,6798,Livingston Chablis Blush Ca,1.5L,10,7.99,2016-12-31
4_EANVERNESS_2432,4,EANVERNESS,2432,Crown Royal,750mL,41,22.99,2016-12-31
17_OLDHAM_5394,17,OLDHAM,5394,Goldschlager Cinnamon Schnap,375mL,10,10.99,2016-12-31
68_SOLARIS_3780,68,SOLARIS,3780,Three Olives Raspberry Vodk,750mL,44,14.99,2016-12-31
33_HORNSEY_5739,33,HORNSEY,5739,Malibu Rum,50mL,101,1.99,2016-12-31
73_DONCASTER_4251,73,DONCASTER,4251,Havana Club Anejo Clsco Gold,50mL,19,0.99,2016-12-31
56_BEGGAR'S HOLE_3571,56,BEGGAR'S HOLE,3571,Absolut Vanilia,50mL,17,1.99,2016-12-31
21_BALERNO_2468,21,BALERNO,2468,Crown Royal Nrth Harvest Rye,750mL,5,27.99,2016-12-31
47_PELLA'S WISH_36750,47,PELLA'S WISH,36750,Big House Cardinal Bst Znfdl,750mL,4,7.99,2016-12-31
52_GRAYCOTT_22801,52,GRAYCOTT,22801,Fetzer Valley Oaks Cab Svgn,1.5L,9,12.99,2016-12-31
7_STANMORE_18152,7,STANMORE,18152,Banfi Centine Mntcln Tscna,750mL,54,9.99,2016-12-31
40_BULLMAR_1883,40,BULLMAR,1883,Seagrams 7 Crown,1.75L,20,17.99,2016-12-31
67_EANVERNESS_21308,67,EANVERNESS,21308,Chloe Pnt Grigio,750mL,78,10.99,2016-12-31
64_CESTERFIELD_16806,64,CESTERFIELD,16806,Apothic Winemakers White,750mL,9,7.99,2016-12-31
39_EASTHALLOW_4277,39,EASTHALLOW,4277,Bacardi Limon Rum,375mL,12,3.99,2016-12-31
60_IRRAGIN_3529,60,IRRAGIN,3529,U V Vodka,1.75L,12,13.99,2016-12-31
67_EANVERNESS_3505,67,EANVERNESS,3505,Tito's Handmade Vodka,750mL,49,18.99,2016-12-31
67_EANVERNESS_31201,67,EANVERNESS,31201,Beringer Fndrs Est Cab Svgn,750mL,25,8.99,2016-12-31
47_PELLA'S WISH_1897,47,PELLA'S WISH,1897,Old Ezra 7Yr Bourbon,750mL,10,24.99,2016-12-31
28_LARNWICK_2290,28,LARNWICK,2290,Jim Beam Devils Cut Bourbon,750mL,5,23.99,2016-12-31
23_ARBINGTON_24971,23,ARBINGTON,24971,Hugel Gentil White,750mL,37,11.99,2016-12-31
45_VERITAS_8312,45,VERITAS,8312,Bols Curacao Orange,750mL,13,7.99,2016-12-31
74_PAENTMARWY_25900,74,PAENTMARWY,25900,La Maldita Garnache Rioja,750mL,12,9.99,2016-12-31
76_DONCASTER_3577,76,DONCASTER,3577,Effen Black Cherry & Vanilla,750mL,17,19.99,2016-12-31
63_SWORDBREAK_3584,63,SWORDBREAK,3584,Absolut Raspberri,750mL,12,17.99,2016-12-31
67_EANVERNESS_8231,67,EANVERNESS,8231,Folonari Valpolicella,1.5L,18,14.99,2016-12-31
66_EANVERNESS_43877,66,EANVERNESS,43877,Duckhorn Svgn Bl Napa,750mL,10,26.99,2016-12-31
74_PAENTMARWY_36874,74,PAENTMARWY,36874,Yellow Tail Merlot Ausl,750mL,16,7.99,2016-12-31
