inventoryid,store,brand,productname,size,quantity,totalamount,unitprice,invoicedate,volume,classification,excisetax,vendorid,vendorname,size_ml
21_BALERNO_33055,21,33055,Cape Indaba Svgn Bl S Africa,750mL,1,8.99,8.99,2016-01-10,750,2,0.11,9552,M S WALKER INC             ,750.0
38_GOULCREST_15205,38,15205,Beringer Cab Svgn Napa Vly,750mL,2,69.98,34.99,2016-01-30,750,2,0.22,9819,TREASURY WINE ESTATES      ,750.0
20_BREDWARDINE_7254,20,7254,Cribari Marsala,750mL,1,7.99,7.99,2016-01-08,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
73_DONCASTER_6432,73,6432,Shady Fruit Real Ruby Red Gr,50mL,9,8.91,0.99,2016-01-30,50,2,0.07,3960,DIAGEO NORTH AMERICA INC   ,50.0
1_HARDERSFIELD_6173,1,6173,Gallo Fairbanks Red Port,1.5L,3,23.97,7.99,2016-02-11,1500,2,0.68,3252,E & J GALLO WINERY         ,1500.0
38_GOULCREST_5042,38,5042,Tequila Rose Liqueur,750mL,1,13.99,13.99,2016-01-14,750,1,0.79,5992,MCCORMICK DISTILLING CO    ,750.0
66_EANVERNESS_31203,66,31203,Beringer Fndrs Est Merlot,750mL,1,11.99,11.99,2016-01-29,750,2,0.11,9819,TREASURY WINE ESTATES      ,750.0
4_EANVERNESS_27644,4,27644,Cline Znfdl Cal,750mL,2,19.98,9.99,2016-01-13,750,2,0.22,4425,MARTIGNETTI COMPANIES,750.0
15_WANBORNE_19895,15,19895,Skeleton Malbec,Liter,1,10.99,10.99,2016-02-16,1000,2,0.15,9165,ULTRA BEVERAGE COMPANY LLP ,
30_CULCHETH_26399,30,26399,Trapiche Malbec Mendoza Oak,750mL,2,15.98,7.99,2016-01-23,750,2,0.22,9815,WINE GROUP INC             ,750.0
73_DONCASTER_10298,73,10298,Alamos Torrontes,750mL,1,9.99,9.99,2016-01-30,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
53_HILLFAR_8339,53,8339,The Glenlivet 12 Yr Single,750mL,1,42.99,42.99,2016-01-24,750,1,0.79,17035,PERNOD RICARD USA          ,750.0
50_MOUNTMEND_6296,50,6296,Taylor Sherry,1.5L,2,15.58,7.79,2016-01-29,1500,2,0.45,1392,CONSTELLATION BRANDS INC   ,1500.0
22_SHARNWICK_16816,22,16816,H3 Horse Heaven Hills Merlot,750mL,3,35.97,11.99,2016-01-05,750,2,0.34,8673,STE MICHELLE WINE ESTATES  ,750.0
10_HORNSEY_4634,10,4634,Gold Crown Wh Rum,1.75L,1,12.99,12.99,2016-01-28,1750,1,1.84,9552,M S WALKER INC             ,1750.0
67_EANVERNESS_4385,67,4385,Parrot Bay 90 Coconut Capt,1.75L,1,24.99,24.99,2016-01-24,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
18_FURNESS_18002,18,18002,Vendange Sweet Red,1.5L,1,6.99,6.99,2016-01-31,1500,2,0.22,1392,CONSTELLATION BRANDS INC   ,1500.0
30_CULCHETH_4152,30,4152,Jenkins Rum,750mL,1,5.99,5.99,2016-01-18,750,1,0.79,9552,M S WALKER INC             ,750.0
23_ARBINGTON_7345,23,7345,M & R Asti,750mL,2,19.98,9.99,2016-01-27,750,2,0.22,480,BACARDI USA INC            ,750.0
39_EASTHALLOW_3606,39,3606,Smirnoff Raspberry Vodka,50mL,6,5.94,0.99,2016-01-08,50,1,0.32,3960,DIAGEO NORTH AMERICA INC   ,50.0
54_GUTHRAM_18568,54,18568,A by Acacia Unoaked Chard Ca,750mL,1,9.99,9.99,2016-01-09,750,2,0.11,1590,DIAGEO CHATEAU ESTATE WINES,750.0
73_DONCASTER_5142,73,5142,Carolans Irish Cream,1.75L,1,22.99,22.99,2016-01-11,1750,1,1.84,11567,CAMPARI AMERICA            ,1750.0
73_DONCASTER_4261,73,4261,Capt Morgan Spiced Rum,1.75L,28,615.72,21.99,2016-01-24,1750,1,51.45,3960,DIAGEO NORTH AMERICA INC   ,1750.0
5_SUTTON_11440,5,11440,Peter Vella Sangria B/B,5L,2,29.98,14.99,2016-01-17,5000,2,1.5,3252,E & J GALLO WINERY         ,5000.0
15_WANBORNE_3615,15,3615,Bacardi Anejo Mexican Rum,750mL,1,13.99,13.99,2016-02-01,750,1,0.79,480,BACARDI USA INC            ,750.0
71_CLARCTON_10727,71,10727,Starborough Svgn Bl Marlboro,750mL,1,9.99,9.99,2016-01-10,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
69_MOUNTMEND_5142,69,5142,Carolans Irish Cream,1.75L,1,22.99,22.99,2016-01-22,1750,1,1.84,11567,CAMPARI AMERICA            ,1750.0
70_KELD_3724,70,3724,Absolut Citron,750mL,1,17.99,17.99,2016-01-09,750,1,0.79,17035,PERNOD RICARD USA          ,750.0
66_EANVERNESS_18971,66,18971,Tenuta Guado Al Tasso Bructo,750mL,1,26.99,26.99,2016-01-29,750,2,0.11,8673,STE MICHELLE WINE ESTATES  ,750.0
33_HORNSEY_23397,33,23397,Secoli 13 Prosecco Valdobbia,750mL,1,11.99,11.99,2016-01-24,750,2,0.11,9552,M S WALKER INC             ,750.0
23_ARBINGTON_21319,23,21319,Wlm Hill Est No Cst Svgn Bl,750mL,1,12.99,12.99,2016-01-06,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
41_LARNWICK_2926,41,2926,Teachers Highland Cream,1.75L,1,27.99,27.99,2016-01-15,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,1750.0
68_SOLARIS_3879,68,3879,Smirnoff 80 Proof Traveler,750mL,4,51.96,12.99,2016-01-23,750,1,3.15,3960,DIAGEO NORTH AMERICA INC   ,750.0
31_HORNSEY_5103,31,5103,Fireball Cinnamon Whisky,1.75L,2,57.98,28.99,2016-01-20,1750,1,3.67,8004,SAZERAC CO INC             ,1750.0
73_DONCASTER_3913,73,3913,Svedka Vodka,1.75L,8,143.92,17.99,2016-01-10,1750,1,14.7,1392,CONSTELLATION BRANDS INC   ,1750.0
19_WINTERVALE_3154,19,3154,New Amsterdam Peach Vodka,750mL,1,9.99,9.99,2016-01-18,750,1,0.79,3252,E & J GALLO WINERY         ,750.0
36_LEWES_966,36,966,Patron Citronge Orange Liqu,750mL,1,22.99,22.99,2016-01-18,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
76_DONCASTER_3747,76,3747,Gordons Vodka Traveler,750mL,1,6.99,6.99,2016-01-05,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,750.0
31_HORNSEY_1892,31,1892,Yukon Jack,50mL,34,33.66,0.99,2016-01-09,50,1,1.78,3960,DIAGEO NORTH AMERICA INC   ,50.0
49_GARIGILL_4297,49,4297,Ronrico Silver Traveler,750mL,1,7.99,7.99,2016-01-02,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
34_PITMERDEN_19039,34,19039,The Path Pnt Nr,750mL,1,9.99,9.99,2016-01-30,750,2,0.11,90047,CRUSH WINES                ,750.0
17_OLDHAM_27461,17,27461,Ecco Domani Pnt Grigio Venez,750mL,1,9.99,9.99,2016-01-28,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
48_NORFOLK_22143,48,22143,Simi Cab Svgn,750mL,2,31.98,15.99,2016-01-10,750,2,0.22,1392,CONSTELLATION BRANDS INC   ,750.0
34_PITMERDEN_5656,34,5656,Cabin Fever Maple Liqueur,50mL,1,1.49,1.49,2016-01-17,50,1,0.05,3960,DIAGEO NORTH AMERICA INC   ,50.0
9_BLACKPOOL_28775,9,28775,C K Mondavi Merlot,1.5L,1,10.99,10.99,2016-01-17,1500,2,0.22,2000,SOUTHERN WINE & SPIRITS NE ,1500.0
67_EANVERNESS_3089,67,3089,Evan Williams Honey Reserve,750mL,1,9.99,9.99,2016-01-25,750,1,0.79,3924,HEAVEN HILL DISTILLERIES   ,750.0
77_TAMWORTH_4724,77,4724,Patron Citronge Lime Liqueur,750mL,1,20.99,20.99,2016-01-01,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
11_CARDEND_24875,11,24875,Glen Ellen Merlot RSV,1.5L,2,13.98,6.99,2016-02-29,1500,2,0.45,9815,WINE GROUP INC             ,1500.0
7_STANMORE_2214,7,2214,James E Pepper Bourbon,750mL,1,33.99,33.99,2016-01-30,750,1,0.79,9552,M S WALKER INC             ,750.0
30_CULCHETH_3876,30,3876,Smirnoff 80 Proof,1.75L,8,151.92,18.99,2016-01-04,1750,1,14.7,3960,DIAGEO NORTH AMERICA INC   ,1750.0
76_DONCASTER_2756,76,2756,Jameson Caskmates,750mL,1,29.99,29.99,2016-01-20,750,1,0.79,17035,PERNOD RICARD USA          ,750.0
4_EANVERNESS_4787,4,4787,Appleton Special Gold Rum,1.75L,1,22.99,22.99,2016-01-15,1750,1,1.84,11567,CAMPARI AMERICA            ,1750.0
41_LARNWICK_5708,41,5708,Dr McGillicuddy's Root Beer,50mL,5,4.95,0.99,2016-01-29,50,1,0.26,8004,SAZERAC CO INC             ,50.0
49_GARIGILL_24829,49,24829,Cecchi Chianti Classico,750mL,4,43.96,10.99,2016-01-27,750,2,0.45,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
73_DONCASTER_6647,73,6647,Estancia Chard,750mL,2,19.98,9.99,2016-01-22,750,2,0.22,1392,CONSTELLATION BRANDS INC   ,750.0
34_PITMERDEN_5111,34,5111,Dr McGillicuddy's Mentholmnt,50mL,21,20.79,0.99,2016-01-07,50,1,1.1,8004,SAZERAC CO INC             ,50.0
67_EANVERNESS_27591,67,27591,Righetti Amarone Valpo Clsc,750mL,1,31.99,31.99,2016-01-17,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
32_MOUNTMEND_5111,32,5111,Dr McGillicuddy's Mentholmnt,50mL,17,16.83,0.99,2016-01-08,50,1,0.89,8004,SAZERAC CO INC             ,50.0
59_CLAETHORPES_28147,59,28147,Kris Pnt Grigio Alto Adige,750mL,2,25.98,12.99,2016-01-08,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE ,750.0
64_CESTERFIELD_1748,64,1748,William Grant Scotch,750mL,1,15.99,15.99,2016-01-09,750,1,0.79,3664,WILLIAM GRANT & SONS INC   ,750.0
74_PAENTMARWY_23095,74,23095,Glen Ellen Cab Svgn RSV,1.5L,12,83.88,6.99,2016-01-03,1500,2,2.7,9815,WINE GROUP INC             ,1500.0
17_OLDHAM_34903,17,34903,Smoking Loon Cab Svgn,750mL,2,13.58,6.79,2016-02-29,750,2,0.22,9552,M S WALKER INC             ,750.0
60_IRRAGIN_34439,60,34439,Toad Hollow Mendocino Chard,750mL,6,83.94,13.99,2016-01-21,750,2,0.68,9552,M S WALKER INC             ,750.0
61_AETHELNEY_6269,61,6269,Sutter Home Cab Svgn,1.5L,1,7.95,7.95,2016-01-22,1500,2,0.22,8892,TRINCHERO FAMILY ESTATES   ,1500.0
15_WANBORNE_3800,15,3800,Don Julio Anejo Tequila,750mL,1,55.99,55.99,2016-02-15,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,750.0
23_ARBINGTON_38652,23,38652,Carpineto Chianti Clsc RSV,750mL,2,39.58,19.79,2016-01-23,750,2,0.22,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
25_CAERSHIRE_3405,25,3405,Tito's Handmade Vodka,1.75L,3,89.97,29.99,2016-01-12,1750,1,5.51,4425,MARTIGNETTI COMPANIES,1750.0
60_IRRAGIN_3233,60,3233,Belvedere Wild Berry,750mL,1,26.99,26.99,2016-01-24,750,1,0.79,8112,MOET HENNESSY USA INC      ,750.0
8_ALNERWICK_3326,8,3326,Jenkins Gin,1.75L,1,9.99,9.99,2016-01-08,1750,1,1.84,9552,M S WALKER INC             ,1750.0
42_BLACK HOLLOW_8111,42,8111,Smirnoff 80 Proof,50mL,17,16.83,0.99,2016-01-19,50,1,0.89,3960,DIAGEO NORTH AMERICA INC   ,50.0
7_STANMORE_3835,7,3835,Smirnoff Raspberry Vodka,750mL,2,21.98,10.99,2016-01-16,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   ,750.0
54_GUTHRAM_3919,54,3919,Hornitos Reposado Tequila,375mL,1,12.99,12.99,2016-01-02,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    ,375.0
77_TAMWORTH_5765,77,5765,Jose Cuervo Lime Margarita,1.75L,2,27.98,13.99,2016-01-28,1750,1,3.67,7245,PROXIMO SPIRITS INC.       ,1750.0
38_GOULCREST_3802,38,3802,Three Olives Vodka,1.75L,16,287.84,17.99,2016-01-12,1750,1,29.4,7245,PROXIMO SPIRITS INC.       ,1750.0
20_BREDWARDINE_4265,20,4265,Capt Morgan Spiced Rum,375mL,2,21.98,10.99,2016-01-16,375,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,375.0
76_DONCASTER_14240,76,14240,Ninety+Cellars Lot 2 Svgn Bl,750mL,7,62.93,8.99,2016-01-29,750,2,0.79,4950,LATITUDE BEVERAGE COMPANY  ,750.0
13_TARMSWORTH_3656,13,3656,Stolichnaya Vanil,1.75L,1,25.99,25.99,2016-02-16,1750,1,1.84,8664,"STOLI GROUP,(USA) LLC      ",1750.0
12_LEESIDE_39356,12,39356,Bota Box Chard Cal,3L,1,21.99,21.99,2016-01-16,3000,2,0.45,2242,DELICATO VINEYARDS INC     ,3000.0
2_ASHBORNE_1384,2,1384,Bulleit 95 Rye,750mL,25,649.75,25.99,2016-01-17,750,1,19.69,3960,DIAGEO NORTH AMERICA INC   ,750.0
15_WANBORNE_3183,15,3183,Jose Cuervo Tradicional Slvr,750mL,3,59.97,19.99,2016-01-16,750,1,2.36,7245,PROXIMO SPIRITS INC.       ,750.0
17_OLDHAM_3894,17,3894,Zhenka Vodka 100 Proof,1.75L,1,13.49,13.49,2016-02-16,1750,1,1.84,9552,M S WALKER INC             ,1750.0
10_HORNSEY_3618,10,3618,Pinnacle Mimosa Vodka,750mL,1,9.99,9.99,2016-01-22,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
51_ABERDEEN_1848,51,1848,Oban Little Bay Single Malt,750mL,1,62.99,62.99,2016-01-08,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,750.0
72_HARDERSFIELD_2426,72,2426,The Glenlivet 15Yr FrenchOak,750mL,2,109.98,54.99,2016-01-15,750,1,1.57,17035,PERNOD RICARD USA          ,750.0
10_HORNSEY_33682,10,33682,R Mondavi Pvt Slctn Cab Sv,1.5L,1,17.99,17.99,2016-02-04,1500,2,0.22,1392,CONSTELLATION BRANDS INC   ,1500.0
49_GARIGILL_36750,49,36750,Big House Cardinal Bst Znfdl,750mL,1,6.99,6.99,2016-01-22,750,2,0.11,9815,WINE GROUP INC             ,750.0
18_FURNESS_482,18,482,Absolut 80 Proof,Liter,1,21.99,21.99,2016-02-06,1000,1,1.05,17035,PERNOD RICARD USA          ,
15_WANBORNE_8689,15,8689,Paul Masson Rose,3L,1,9.99,9.99,2016-01-27,3000,2,0.45,1392,CONSTELLATION BRANDS INC   ,3000.0
56_BEGGAR'S HOLE_8018,56,8018,La Vieille Ferme Red Ventoux,750mL,2,17.98,8.99,2016-01-30,750,2,0.22,1587,VINEYARD BRANDS INC        ,750.0
20_BREDWARDINE_34133,20,34133,Turning Leaf RSV Cab Svgn,1.5L,3,26.97,8.99,2016-01-22,1500,2,0.68,3252,E & J GALLO WINERY         ,1500.0
16_LUNDY_3243,16,3243,Burnetts Vodka,1.75L,7,73.43,10.49,2016-02-07,1750,1,12.86,3924,HEAVEN HILL DISTILLERIES   ,1750.0
50_MOUNTMEND_5356,50,5356,Kahlua,375mL,1,9.99,9.99,2016-01-26,375,1,0.39,17035,PERNOD RICARD USA          ,375.0
33_HORNSEY_5953,33,5953,Barrow's Intense Ginger,375mL,1,19.99,19.99,2016-01-14,375,1,0.39,98450,Serralles Usa LLC          ,375.0
38_GOULCREST_33578,38,33578,Tommasi Pinot Grigio Le Ros,750mL,1,14.99,14.99,2016-01-04,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
30_CULCHETH_4194,30,4194,Calico Jack Coconut Rum,1.75L,2,25.98,12.99,2016-01-20,1750,1,3.67,12546,JIM BEAM BRANDS COMPANY    ,1750.0
1_HARDERSFIELD_18152,1,18152,Banfi Centine Mntcln Tscna,750mL,1,7.99,7.99,2016-01-16,750,2,0.11,516,BANFI PRODUCTS CORP        ,750.0
78_EASTHAVEN_5254,78,5254,DeKuyper Buttershots Schnpps,750mL,1,9.99,9.99,2016-01-23,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
73_DONCASTER_15979,73,15979,Moonlight Meadery Wild,375mL,1,12.99,12.99,2016-01-26,375,2,0.06,6215,MOONLIGHT MEADERY          ,375.0
74_PAENTMARWY_3038,74,3038,Zhenka Raspberry Vodka,1.75L,2,21.98,10.99,2016-01-09,1750,1,3.67,9552,M S WALKER INC             ,1750.0
27_MOUNTMEND_3779,27,3779,Three Olives Cherry Vodka,750mL,3,38.97,12.99,2016-01-05,750,1,2.36,7245,PROXIMO SPIRITS INC.       ,750.0
32_MOUNTMEND_6249,32,6249,Rodney Strong Chard,750mL,2,25.98,12.99,2016-01-28,750,2,0.22,4425,MARTIGNETTI COMPANIES,750.0
33_HORNSEY_14930,33,14930,Yellow Tail Moscato,1.5L,2,29.98,14.99,2016-01-09,1500,2,0.45,4425,MARTIGNETTI COMPANIES,1500.0
49_GARIGILL_3329,49,3329,Seagrams Extra Smooth Vodka,1.75L,1,17.99,17.99,2016-01-16,1750,1,1.84,9165,ULTRA BEVERAGE COMPANY LLP ,1750.0
6_GOULCREST_3316,6,3316,Ciroc Peach Vodka,375mL,1,11.99,11.99,2016-01-30,375,1,0.39,3960,DIAGEO NORTH AMERICA INC   ,375.0
66_EANVERNESS_27813,66,27813,Warre's Warrior Port,750mL,1,13.99,13.99,2016-01-24,750,2,0.11,1587,VINEYARD BRANDS INC        ,750.0
